runtime,annotation_version,input_type
Feb-20-2024-02:55:28,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Apr-07-2024-23:17:11,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-28-2023-02:13:55,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jan-26-2024-10:32:33,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Feb-22-2024-17:06:26,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Mar-28-2024-18:24:10,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Aug-16-2024-15:18:47,ORF_only_v2_nov-11-2021.csv,Wormbase.ID
Jul-21-2024-21:23:26,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Apr-15-2024-07:30:23,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Nov-16-2023-20:06:22,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-14-2023-00:04:21,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-19-2023-17:46:51,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jun-07-2024-01:44:47,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-01-2023-18:54:53,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-18-2024-12:12:09,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-03-2023-19:42:53,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Nov-12-2023-04:17:57,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-03-2024-09:28:55,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Dec-15-2023-04:06:59,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-02-2023-07:52:00,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jan-26-2024-10:14:45,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-08-2023-21:05:05,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Oct-31-2023-20:04:36,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-27-2023-23:59:58,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-22-2024-20:35:08,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-28-2024-17:27:53,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-14-2023-16:31:59,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-27-2024-18:03:08,ORF_only_v2_nov-11-2021.csv,Sequence.ID
Aug-19-2024-18:48:59,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-31-2023-01:52:55,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jun-28-2024-00:58:20,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-21-2023-13:39:55,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jan-15-2024-20:02:10,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Dec-27-2023-04:30:32,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jan-08-2024-12:11:20,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-27-2023-17:30:35,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-04-2023-02:48:01,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-07-2024-18:58:46,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jul-21-2024-19:11:47,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jun-29-2024-03:30:37,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Aug-09-2024-03:28:47,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-05-2024-13:02:09,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Jul-28-2024-16:59:04,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-27-2024-09:40:13,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-17-2024-17:06:57,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-26-2023-21:03:16,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-25-2023-14:55:43,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-03-2023-17:42:03,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Sep-20-2023-09:03:02,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Apr-05-2024-04:28:34,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Aug-06-2023-19:53:47,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-28-2023-16:10:23,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-18-2024-15:27:54,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-09-2023-03:58:58,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Dec-12-2023-16:21:32,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Apr-30-2024-02:19:11,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-26-2024-18:23:59,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Mar-19-2024-18:18:49,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-12-2023-16:30:10,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Feb-20-2024-00:27:08,whole_genome_v2_nov-11-2021.csv,Sequence.ID
Sep-11-2023-18:55:27,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Dec-16-2023-15:27:53,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Nov-17-2023-16:02:11,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-01-2024-14:44:01,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Aug-29-2024-15:04:22,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Oct-06-2023-15:04:25,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
Sep-19-2023-18:35:38,whole_genome_v2_nov-11-2021.csv,Wormbase.ID
